Campaña,Canal,% Recorrido,% Contactabilidad,Efec. Bruta,Efect Neta,Vueltas
Bx_RxCxPxRxCxxN,Txxndx Gzz Tvt Cxlxmbxx,1,0.115580095,0.006596042,0.003597841,18.174421291
Bx_RxCxPxRxCxxN,Cxvxzxxn Pxrx TVT,1,0.094753807,0.005278592,0.002932551,11.066522174
Bx_RxCxPxRxCxxN,xMxRGxx,1,0.061663263,0.006439742,0.00275989,6.177955525
Bx_RxCxPxRxCxxN,CGz CxLxMBxx,0.993203509,0.071390439,0.002719239,0.002039429,4.586702257
Bx_RxCxPxRxCxxN,Kxnxctx Pxrx,1,0.061394018,0.001705514,0,3.355031238
Bx_RxCxPxRxCxxN,Kxnxctx txlxvxntxz,0.189443078,0.036363636,0.003246753,0,1.457497048
Bx_RxCxPxRxCxxN,Hxldtxch,0.162280702,0.031733981,-,-,1.218493775
Bx_RxCxPxRxCxxN,Kxnxctx txlxvxntxz cxlxmbxx,0.246719507,0.05800464,-,-,4.737105122
BxzxNxzz_PNG,Kxnxctx txlxvxntxz,0.60512072,0.07019363,0.000932981,0.000699736,2.052898994
BxzxNxzz_PYMx,Kxnxctx txlxvxntxz,0.940647424,0.077612095,0.000778297,0.000667111,2.788883711
CRxzz_CxN_xQxxPx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.405839334,0.005408267,0.002669612,9.039330513
CRxzz_CxN_xQxxPx,xMxRGxx,0.79845761,0.215492457,0.003747564,0.002548344,3.131181962
CRxzz_CxN_xQxxPx,CGz CxLxMBxx,1,0.41170998,0.003344381,0.00204881,7.899820133
CRxzz_FxBRx,Kxnxctx txlxvxntxz cxlxmbxx,0.993794591,0.41097903,0.009424764,0.007231069,20.249198611
CRxzz_FxBRx,Kxnxctx txlxvxntxz cxlxmbxx,-,-,-,-,-
CRxzz_PRxMxTxR,xpxx Txlxvxntxz Txlcx,1,0.536664856,-,-,7.664856056
CRxzz_zxN_xQxxPx,xMxRGxx,0.632866986,0.139746446,0.005883469,0.004744733,1.657171653
CRxzz_zxN_xQxxPx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.335504805,0.00574125,0.003006148,6.704135579
CRxzz_zxN_xQxxPx,CGz CxLxMBxx,1,0.280115971,0.003580889,0.002370908,4.164562064
CRxzz_xPzxLLxNG,Cxnxctxdxz,0.955447985,0.338362574,0.000086651,0.00005199,8.061611625
CRxzz_xPzxLLxNG_BzHxCK,Cxnxctxdxz,0.449566605,0.115779376,1,1,2.96882494
Crxzz_Bxzxnxzz,Kxnxctx txlxvxntxz,0.834700563,0.268651093,0.001519402,0.000818139,5.125062798
FxBRx_RxPRxCxzx,Gzz,0.995632293,0.172070019,0.001398822,0.000992713,5.836509606
FxBRx_RxPRxCxzx,xPC,0.822696702,0.10175253,0.001334438,0.000874287,2.714290396
FxBRx_WxMxRz_CxNCxLxCxxNxz,xPC,0.919599613,0.395716292,0.028393966,0.010647737,12.878160112
FxBRx_WxMxRz_CxMxNx,xPC,0.737746684,0.176149756,0.002987397,0.002240548,2.488439401
FxBRx_WxMxRz_CxMxNx,Gzz,1,0.198036907,0.001643,0.001290928,2.756844486
FxBRx_WxMxRz_CxMxNx_MxT,Gzz,1,0.144455457,0.001668933,0.001112622,5.038689918
FxBRx_WxMxRz_CxMxNx_MxT,xPC,1,0.09314046,0.00112728,0.00071736,2.538301843
FxBRx_WxMxRz_CxMxNx_PxLxTx,xPC,0.917532152,0.125795062,0.002733102,0.001787028,2.048675667
FxBRx_WxMxRz_CxMxNx_PxLxTx,Gzz,1,0.151638199,0.00147402,0.00098268,2.718591093
FxBRx_WxMxRz_xXxCTx,xPC,1,0.386340848,0.007199967,0.00460463,8.070074716
FxBRx_WxMxRz_xXxCTx,Gzz,1,0.381135092,0.003145973,0.002516779,8.873274714
FxBRx_WxMxRz_xXxCTx_MxT,Gzz,1,0.234540307,0.001905972,0.001270648,7.609745194
FxBRx_WxMxRz_xXxCTx_MxT,xPC,0.994315278,0.16194514,0.001586672,0.001190004,4.219823987
FxBRx_WxMxRz_xXxCTx_PxLxTx,xPC,0.983289764,0.251681176,0.006420878,0.004556752,3.769691915
FxBRx_WxMxRz_xXxCTx_PxLxTx,Gzz,1,0.265520021,0.001518219,0.001012146,5.832034399
FxBRx_WxMxRz_LxGxzTxCx,xPC,0.996002244,0.438208577,0.006427768,0.003535272,7.518766284
FxBRx_WxMxRz_PxRTxxT,xPC,0.999843272,0.618230269,0.002408722,0.001521298,13.625284113
FxBRx_WxMxRz_PxRTxxT,Gzz,1,0.666118421,0.001097394,0.000823045,22.206505848
FxBRx_WxMxRz_PxRTxxT_xX,xPC,1,0.310028116,0.000604595,0.000604595,16.148828491
FxBRx_WxMxRz_PxRTxxT_xX,Gzz,1,0.421965318,-,-,34.257447755
HxTxz_xxT,xpxx Txlxvxntxz,1,0.595348837,0.1953125,0.15625,1.586046512
LLxMxDxRxz_xLTx,PHxxNxXzxLxz,0.999085695,0.157903494,0.002634352,0.002107482,3.802579035
LLxMxDxRxz_xLTx,Kxnxctx txlxvxntxz cxlxmbxx,1,0.295710123,0.003295913,0.002074585,7.607281561
LLxMxDxRxz_xLTx,Kxnxctx Pxrx,1,0.325330297,0.002551808,0.002047468,10.120016163
LLxMxDxRxz_xLTx,xMxRGxx,1,0.216391519,0.002768338,0.001832831,6.731565945
LLxMxDxRxz_xLTx,Txxndx Gzz Tvt Cxlxmbxx,1,0.316545957,0.002581501,0.00176782,11.523061497
LLxMxDxRxz_xLTx,Hxldtxch,1,0.231487021,0.003010604,0.001705121,7.168850953
LLxMxDxRxz_xLTx,CGz CxLxMBxx,1,0.283886466,0.002443549,0.001538531,7.674768288
LLxMxDxRxz_xLTx,Cxvxzxxn Pxrx TVT,1,0.311780968,0.002080278,0.001261808,8.375683147
LLxMxDxRxz_xLTx,Kxnxctx txlxvxntxz,1,0.295030046,0.001389821,0.001054347,10.443082361
