Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
BxzxNxzz_PNG;Kxnxctx txlxvxntxz;94,78%;0,419774584;0,001449028;0,001292761;;1;2024
BxzxNxzz_PNG;Hxldtxch;31,89%;0,234002943;-;0,000075769;;1;2024
BxzxNxzz_PYMx;Kxnxctx txlxvxntxz;21,47%;0,374390838;0,00065083;0,00065083;;1;2024
CRxzz_BxM;Kxnxctx txlxvxntxz cxlxmbxx;100,00%;0,529435163;0,003756574;0,003005259;;1;2024
CRxzz_BxzxNxzz_RxC;Hxldtxch;30,36%;0,372730711;-;-;;1;2024
CRxzz_FxBRx;Kxnxctx txlxvxntxz cxlxmbxx;88,52%;0,164116605;0,008832188;0,007196598;;1;2024
Crxzz_Bxzxnxzz;Kxnxctx txlxvxntxz;99,84%;0,68158503;0,004037337;0,001808727;;1;2024
Crxzz_Bxzxnxzz;Hxldtxch;23,58%;0,26185298;-;-;;1;2024
Crxzz_Cxnzxmxr;Kxnxctx txlxvxntxz cxlxmbxx;96,55%;0,464118567;0,011394736;0,006100212;;1;2024
Crxzz_Cxnzxmxr;xpxx Txlxvxntxz Cxlxmbxx;97,73%;0,403162686;0,007524026;0,004336698;;1;2024
Crxzz_Cxnzxmxr;Hxldtxch;100,00%;0,425794461;0,004246785;0,002595258;;1;2024
Crxzz_Cxnzxmxr;Kxnxctx txlxvxntxz;66,04%;0,334527924;0,004327106;0,002554327;;1;2024
xLxCKxR_LxB_TVT;xpxx Txlxvxntxz;60,50%;0,836772983;-;-;;1;2024
FxBRx_CxMxNx_C1;Txxndx Gzz Tvt Cxlxmbxx;99,28%;0,476502966;0,00055514;0,00027757;;1;2024
FxBRx_CxMxNx_C1;xpxx Txlxvxntxz Cxlxmbxx;99,89%;0,321817152;0,000146631;0,000104736;;1;2024
FxBRx_CxMxNx_C2;Txxndx Gzz Tvt Cxlxmbxx;99,86%;0,436525117;0,000092691;0,000092691;;1;2024
FxBRx_CxMxNx_C2;xpxx Txlxvxntxz Cxlxmbxx;97,54%;0,384345617;0,000035923;-;;1;2024
FxBRx_CxMxNx_C3;Txxndx Gzz Tvt Cxlxmbxx;69,69%;0,222186793;0,000130463;0,000130463;;1;2024
FxBRx_CxMxNx_C3;xpxx Txlxvxntxz Cxlxmbxx;35,68%;0,180287645;-;-;;1;2024
FxBRx_xXxCTx_x1;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,615477338;0,000391696;0,000391696;;1;2024
FxBRx_xXxCTx_x1;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,557175279;0,000156666;0,000156666;;1;2024
FxBRx_xXxCTx_x2;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,526879831;-;-;;1;2024
FxBRx_xXxCTx_x2;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,548857868;-;-;;1;2024
FxBRx_xXxCTx_x3;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,503981797;-;-;;1;2024
FxBRx_xXxCTx_x3;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,684998373;-;-;;1;2024
FxBRx_LxGxzTxCx;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,240543407;0,000419903;0,000419903;;1;2024
FxBRx_LxGxzTxCx;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,60991299;0,000388565;0,000222037;;1;2024
FxBRx_WxMxRz_WxNBxCK;xpxx Txlxvxntxz Cxlxmbxx;99,83%;0,445742905;-;-;;1;2024
GxzTxxN_RxCxPxRx;PHxxNxXzxLxz;99,94%;0,785148515;0,052648172;0,029003783;;1;2024
GxzTxxN_RxCxPxRx;Hxldtxch;56,50%;0,543610163;0,026159749;0,015347053;;1;2024
GxzTxxN_RxCxPxRx;Hxldtxch zxntxxgx;100,00%;0,801306769;0,020184467;0,014035557;;1;2024
LxBxRxTxRxx_CxP;xpxx Txlxvxntxz;76,01%;0,258715596;-;-;;1;2024
LxBxRxTxRxx_xNCxxzTx;xpxx Txlxvxntxz;57,28%;0,092485549;-;-;;1;2024
LxB_DxxDx;xpxx Txlxvxntxz;68,70%;0,263546798;-;-;;1;2024
LLxMxDxRxz_xzPxCxxL;Hxldtxch zxntxxgx;97,71%;0,199472502;0,00950049;0,00612145;;1;2024
LLxMxDxRxz_xzPxCxxL;Hxldtxch;100,00%;0,282078298;0,008166105;0,00527318;;1;2024
LLxMxDxRxz_xzPxCxxL;VTxC;100,00%;0,218714466;0,007220738;0,004621272;;1;2024
