Campaña;Canal;Total Cargado;Recorrido;Contactado;Intentos;Vuelta;% Recorrido;% Contactabilidad;mes;año
LLxMxDxRxz_xzPxCxxL;Gzz BxRRxNQxxLLx;136581;202930;45494;2138929;10,54;1;0,22418568;1;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;347150;380492;140680;1997925;5,25;1;0,369731821;1;2024
LLxMxDxRxz_L2;Gzz BxRRxNQxxLLx;131028;128374;55320;1559399;12,15;0,979744787;0,430928381;1;2024
LLxMxDxRxz_L3_xNTxL;Gzz BxRRxNQxxLLx;151514;150825;82214;1237084;8,2;0,995452565;0,545095309;1;2024
LLxMxDxRxz_L4;Gzz BxRRxNQxxLLx;119491;119569;45250;2126018;17,78;1;0,378442573;1;2024
LLxMxDxRxz_L5_xNTxL;Gzz BxRRxNQxxLLx;67497;67534;51933;775140;11,48;1;0,768990434;1;2024
LLxMxDxRxz_L6_xNTxL;Gzz BxRRxNQxxLLx;134721;134738;92998;1593960;11,83;1;0,6902136;1;2024
LLxMxDxRxz_xzPxCxxL;Txxndx Gzz Tvt Cxlxmbxx;121717;238755;50256;735110;3,08;1;0,210491927;1;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;458059;519788;219081;3744064;7,2;1;0,42148145;1;2024
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;255277;248159;99928;1853982;7,47;0,972116564;0,402677316;1;2024
LLxMxDxRxz_L3_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;172149;171749;108188;1104879;6,43;0,997676431;0,629919243;1;2024
LLxMxDxRxz_L4;Txxndx Gzz Tvt Cxlxmbxx;203133;203300;72250;2037488;10,02;1;0,355386129;1;2024
LLxMxDxRxz_L5_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;114744;114810;78753;780919;6,8;1;0,685941991;1;2024
LLxMxDxRxz_L6_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;229027;229130;128880;1250817;5,46;1;0,562475451;1;2024
LLxMxDxRxz_xzPxCxxL;Gzz BxRRxNQxxLLx;497558;456497;100578;3970440;8,7;0,917474948;0,220325654;2;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;131220;119530;7552;1082765;9,06;0,910912971;0,063180791;2;2024
LLxMxDxRxz_L2;Gzz BxRRxNQxxLLx;89181;89253;42710;2351535;26,35;1;0,478527332;2;2024
LLxMxDxRxz_L3_xNTxL;Gzz BxRRxNQxxLLx;84323;84406;50855;908318;10,76;1;0,602504561;2;2024
LLxMxDxRxz_L4;Gzz BxRRxNQxxLLx;136405;136441;48163;1116257;8,18;1;0,352995067;2;2024
LLxMxDxRxz_L5_xNTxL;Gzz BxRRxNQxxLLx;69951;69984;38088;490014;7;1;0,544238683;2;2024
LLxMxDxRxz_L6_xNTxL;Gzz BxRRxNQxxLLx;136136;136184;77943;902646;6,63;1;0,572335957;2;2024
LLxMxDxRxz_xzPxCxxL;Txxndx Gzz Tvt Cxlxmbxx;640481;641079;164398;4437620;6,92;1;0,256439534;2;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;161128;161159;14920;1266778;7,86;1;0,092579378;2;2024
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;133772;133972;52496;1223574;9,13;1;0,391843072;2;2024
LLxMxDxRxz_L3_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;126484;126660;49556;394105;3,11;1;0,391252171;2;2024
LLxMxDxRxz_L4;Txxndx Gzz Tvt Cxlxmbxx;204606;204903;61420;1057239;5,16;1;0,29975159;2;2024
LLxMxDxRxz_L5_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;104926;105033;58678;724158;6,89;1;0,558662516;2;2024
LLxMxDxRxz_L6_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;204203;204413;120665;1358131;6,64;1;0,59030003;2;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;237321;233214;121304;1240245;5,32;0,982694325;0,5201403;3;2024
LLxMxDxRxz_L2;Gzz BxRRxNQxxLLx;188397;168947;55999;450214;2,66;0,896760564;0,331458978;3;2024
LLxMxDxRxz_L3_xNTxL;Gzz BxRRxNQxxLLx;107218;101626;37298;306286;3,01;0,947844578;0,367012379;3;2024
LLxMxDxRxz_L4;Gzz BxRRxNQxxLLx;318114;259248;46923;572317;2,21;0,81495313;0,180996575;3;2024
LLxMxDxRxz_RxC;Gzz BxRRxNQxxLLx;173777;83584;35097;105775;1,27;0,48098425;0,419900938;3;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;402373;403213;265223;4933856;12,24;1;0,657773931;3;2024
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;159413;159869;110020;2515949;15,74;1;0,688188454;3;2024
LLxMxDxRxz_L3_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;90724;88638;67094;1234057;13,92;0,977007187;0,756943974;3;2024
LLxMxDxRxz_L4;Txxndx Gzz Tvt Cxlxmbxx;269173;269793;132796;2362936;8,76;1;0,492214401;3;2024
LLxMxDxRxz_RxC;Txxndx Gzz Tvt Cxlxmbxx;173776;155814;88212;347215;2,23;0,89663705;0,566136547;3;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;332694;326285;97153;1659440;5,09;0,980736052;0,29775503;4;2024
LLxMxDxRxz_L2;Gzz BxRRxNQxxLLx;65459;65300;31547;318407;4,88;0,997570999;0,483108729;4;2024
LLxMxDxRxz_L3_xNTxL;Gzz BxRRxNQxxLLx;42518;40684;16905;103370;2,54;0,956865328;0,415519615;4;2024
LLxMxDxRxz_L4;Gzz BxRRxNQxxLLx;104753;68492;18031;130273;1,9;0,653842849;0,263257023;4;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;366937;367523;235537;3654624;9,94;1;0,640876898;4;2024
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;130918;149214;84071;1432828;9,6;1;0,563425684;4;2024
LLxMxDxRxz_L3_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;85036;85186;56745;934111;10,97;1;0,666130585;4;2024
