Campaña,Canal,Total Cargado,Recorrido,Contactado,Intentos,Vuelta,% Recorrido,% Contactabilidad
Bx_RxCxPxRxCxxN,Txxndx Gzz Tvt Cxlxmbxx,126,126,29,239,1.896825397,1,0.23015873
LLxMxDxRxz_xLTx,Txxndx Gzz Tvt Cxlxmbxx,309601,281405,57817,1351387,4.802284963,0.908927943,0.205458325
LLxMxDxRxz_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,632823,491080,68140,1455789,2.964464038,0.776014778,0.138755396
LLxMxDxRxz_PxLxTx_DxCxL_xLTx,Txxndx Gzz Tvt Cxlxmbxx,216000,174289,24968,978088,5.61187453,0.806893519,0.143256316
PxLxTx_zxN_RxzTRxCCxxNxz,Txxndx Gzz Tvt Cxlxmbxx,2925,555,66,603,1.086486486,0.18974359,0.118918919
PxLxTx_zxN_RxzTRxCCxxNxz_xzPxCxxL,Txxndx Gzz Tvt Cxlxmbxx,16807,16807,1263,26029,1.548699946,1,0.07514726
RxTxRGxTxNG_PxRTx,Txxndx Gzz Tvt Cxlxmbxx,8835,7270,2698,21502,2.957634113,0.822863611,0.371114168
RxTxRGxTxNG_PxRTx_xzP,Txxndx Gzz Tvt Cxlxmbxx,38181,38181,6054,52733,1.381131977,1,0.158560541
WxNBxCK_CxNzxMxR,Txxndx Gzz Tvt Cxlxmbxx,71662,41020,1934,86761,2.1150902,0.572409366,0.047147733
WxNBxCK_DxxDxRxz,Txxndx Gzz Tvt Cxlxmbxx,14641,8390,373,17855,2.128128725,0.573048289,0.044457688
